ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,W jaki sposób chcesz uczestniczyć w Community?,Programming: R,Programming: Python,Programming: Bash,Version Control: GIT,Containers: Docker,"CLI: (np. Bash, PowerShell, CMD)","Front End: (HTML, JavaScript, CSS)",Databases: SQL,Databases: NoSQL,Cloud: Azure,Cloud: AWS,Cloud: GPC,BI: PowerBI,BI: Tableau,Area: Time Series,"Area: Classical ML (Clustering, Regression, Classification)",Area: NLP,Area: Computer Vision,Project Management,Promocja w Social Media,Ux/Ui,Projektowanie graficzne,Nawiązywanie Relacji z Biznesem,Nawiązywanie Relacji z naukowcami,Pozyskiwanie finansowania,Współpraca z administracją UEW,FinTech,HealthTech,FashionTech,E-commerce,SportTech,Non-profit,PropTech (nieruchomości),Cybersecurity,HR
1,2024-03-05 15:25:52,2024-03-05 15:33:04,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0
2,2024-03-05 15:29:46,2024-03-05 15:35:02,anonymous,Chcę uczestniczyć w projekcie data,3.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
3,2024-03-05 15:16:30,2024-03-05 15:37:17,anonymous,Chcę uczestniczyć w projekcie data,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
4,2024-03-05 15:34:17,2024-03-05 15:38:01,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0
5,2024-03-05 15:34:26,2024-03-05 15:38:20,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
6,2024-03-05 15:25:26,2024-03-05 15:42:56,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0
7,2024-03-05 15:38:47,2024-03-05 15:43:21,anonymous,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
9,2024-03-05 16:03:01,2024-03-05 16:08:52,anonymous,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
10,2024-03-05 16:34:12,2024-03-05 16:38:41,anonymous,Chcę uczestniczyć w projekcie data,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
11,2024-03-05 16:32:10,2024-03-05 16:47:31,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0
12,2024-03-05 16:39:56,2024-03-05 16:53:41,anonymous,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,3.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
13,2024-03-05 15:43:47,2024-03-05 16:54:44,anonymous,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
14,2024-03-05 17:06:31,2024-03-05 17:14:39,anonymous,Chcę uczestniczyć w projekcie data,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
15,2024-03-05 17:15:44,2024-03-05 17:19:06,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0
16,2024-03-05 17:31:01,2024-03-05 17:35:31,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
17,2024-03-05 17:34:15,2024-03-05 17:39:13,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0
18,2024-03-05 17:28:17,2024-03-05 17:40:24,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-03-05 17:29:14,2024-03-05 18:13:38,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2024-03-05 18:22:43,2024-03-05 18:29:08,anonymous,Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2024-03-05 18:29:19,2024-03-05 18:32:03,anonymous,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0
22,2024-03-05 19:37:40,2024-03-05 19:40:19,anonymous,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
23,2024-03-05 20:34:39,2024-03-05 20:38:04,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
24,2024-03-05 21:36:40,2024-03-05 21:38:50,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
25,2024-03-05 21:46:44,2024-03-05 21:50:02,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0
26,2024-03-05 22:03:45,2024-03-05 22:09:02,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0
27,2024-03-06 00:08:44,2024-03-06 00:28:04,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0
28,2024-03-06 01:42:48,2024-03-06 01:50:18,anonymous,Chcę uczestniczyć w projekcie data,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
29,2024-03-06 09:23:18,2024-03-06 09:31:23,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30,2024-03-06 09:54:43,2024-03-06 09:59:40,anonymous,Chcę uczestniczyć w projekcie data,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0
31,2024-03-06 10:27:54,2024-03-06 10:45:59,anonymous,Chcę uczestniczyć w projekcie data,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
32,2024-03-06 11:34:56,2024-03-06 11:37:24,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0
33,2024-03-06 12:04:57,2024-03-06 12:07:39,anonymous,Chcę uczestniczyć w projekcie data,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
34,2024-03-06 12:07:02,2024-03-06 12:12:43,anonymous,Chcę uczestniczyć w projekcie data,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2024-03-06 15:38:50,2024-03-06 15:42:54,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
36,2024-03-06 17:18:44,2024-03-06 17:21:57,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0
37,2024-03-06 18:06:40,2024-03-06 18:13:43,anonymous,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
38,2024-03-06 18:04:56,2024-03-06 18:19:59,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0
41,2024-03-06 20:01:41,2024-03-06 20:06:34,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0
42,2024-03-07 07:25:17,2024-03-07 07:35:02,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
43,2024-03-07 16:25:15,2024-03-07 16:39:06,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2024-03-07 16:59:44,2024-03-07 17:04:41,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0
45,2024-03-07 23:20:19,2024-03-07 23:25:46,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
46,2024-03-07 23:55:51,2024-03-08 00:00:06,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
47,2024-03-08 08:26:00,2024-03-08 08:39:45,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0
48,2024-03-08 13:43:55,2024-03-08 13:46:14,anonymous,Chcę uczestniczyć w projekcie data,3.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
49,2024-03-09 08:14:37,2024-03-09 08:20:24,anonymous,Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
50,2024-03-09 14:20:17,2024-03-09 14:23:58,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
51,2024-03-09 19:57:00,2024-03-09 20:00:27,anonymous,Chcę uczestniczyć w projekcie data,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
52,2024-03-09 20:49:04,2024-03-09 20:54:44,anonymous,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2024-03-10 16:31:07,2024-03-10 16:35:29,anonymous,Chcę uczestniczyć w projekcie data,2.0,2.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
54,2024-03-11 19:38:54,2024-03-11 19:42:08,anonymous,Chcę uczestniczyć w projekcie data,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
55,2024-03-13 09:28:54,2024-03-13 09:35:55,anonymous,Chcę uczestniczyć w projekcie data,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
57,2024-03-15 10:36:44,2024-03-15 10:40:03,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2024-03-15 20:41:43,2024-03-15 20:53:12,anonymous,Chcę uczestniczyć w projekcie data,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0
59,2024-03-18 19:40:09,2024-03-18 19:48:37,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0,3.0,0.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0
61,2024-03-25 18:28:32,2024-03-25 18:31:47,anonymous,Chcę uczestniczyć w projekcie data,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-04-03 15:24:10,2024-04-03 15:33:56,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
64,2024-04-03 19:14:10,2024-04-03 19:18:22,anonymous,"Chcę uczestniczyć w projekcie data i organizować ""życie"" Community",1.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0
67,2024-04-14 18:29:20,2024-04-14 18:33:23,anonymous,Chcę uczestniczyć w projekcie data,4.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
